user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur3338	2018-12-17 18:15:55.436141+00:00	2018-12-17 18:11:20.500000+00:00	2018-12-17 17:54:26+00:00	2018-12-17 18:48:47.625000+00:00	2018-12-17 17:55:08.475000+00:00	2018-12-17 18:44:53.525000+00:00
ur3473						
ur2636						
ur8740						
ur7947						
ur3484						
ur1999						
ur5073	2018-12-17 17:42:55.580235+00:00	2018-12-17 17:42:12+00:00	2018-12-17 17:11:32+00:00	2018-12-17 18:19:31.900000+00:00	2018-12-17 17:12:40.635000+00:00	2018-12-17 18:13:55.645000+00:00
ur4242						
ur6538	2018-12-17 18:20:07.084605+00:00	2018-12-17 18:15:10+00:00	2018-12-17 18:06:00+00:00	2018-12-17 18:44:51+00:00	2018-12-17 18:06:17+00:00	2018-12-17 18:42:13+00:00
ur8670						
ur3602						
ur4592						
ur5262	2018-12-17 18:00:38.764706+00:00	2018-12-17 17:44:56+00:00	2018-12-17 17:37:08.500000+00:00	2018-12-17 19:11:29.800000+00:00	2018-12-17 17:37:55.140000+00:00	2018-12-17 19:00:05.480000+00:00
ur3426	2018-12-17 17:59:18.622711+00:00	2018-12-17 17:56:25.500000+00:00	2018-12-17 17:48:07+00:00	2018-12-17 18:26:40.900000+00:00	2018-12-17 17:48:29.735000+00:00	2018-12-17 18:19:37.265000+00:00
ur1366						
ur7272						
ur8049	2018-12-17 20:18:33.640428+00:00	2018-12-17 20:23:44+00:00	2018-12-17 19:48:17.225000+00:00	2018-12-17 20:36:10+00:00	2018-12-17 19:50:58.265000+00:00	2018-12-17 20:35:45+00:00
ur5149	2018-12-17 17:25:58.858108+00:00	2018-12-17 17:19:08+00:00	2018-12-17 17:06:35+00:00	2018-12-17 18:23:46.950000+00:00	2018-12-17 17:07:07.960000+00:00	2018-12-17 17:52:56.830000+00:00
ur3955	2018-12-17 17:39:06.628716+00:00	2018-12-17 17:35:34+00:00	2018-12-17 17:31:17+00:00	2018-12-17 18:08:41.450000+00:00	2018-12-17 17:31:51+00:00	2018-12-17 17:50:27.060000+00:00
ur4375	2018-12-17 17:30:29.354534+00:00	2018-12-17 17:28:04.500000+00:00	2018-12-17 17:05:56+00:00	2018-12-17 18:18:54.525000+00:00	2018-12-17 17:06:24+00:00	2018-12-17 18:01:54+00:00
ur4845	2018-12-17 17:40:49.843137+00:00	2018-12-17 17:31:43+00:00	2018-12-17 17:14:59+00:00	2018-12-17 18:41:01+00:00	2018-12-17 17:15:36.320000+00:00	2018-12-17 18:29:26.600000+00:00
ur4389						
ur3520	2018-12-17 18:19:12.475477+00:00	2018-12-17 18:11:13+00:00	2018-12-17 17:59:44+00:00	2018-12-17 18:58:18.475000+00:00	2018-12-17 18:00:01+00:00	2018-12-17 18:52:26+00:00
ur4836						
ur8942						
ur4910						
ur6067	2018-12-17 18:08:48.735642+00:00	2018-12-17 18:08:43+00:00	2018-12-17 18:01:01+00:00	2018-12-17 18:16:10.425000+00:00	2018-12-17 18:01:54.555000+00:00	2018-12-17 18:15:12+00:00
ur2587	2018-12-17 18:15:05.377289+00:00	2018-12-17 18:05:34+00:00	2018-12-17 17:56:07.450000+00:00	2018-12-17 18:55:21.100000+00:00	2018-12-17 17:56:24+00:00	2018-12-17 18:49:34.880000+00:00
ur2330						
ur6226						
ur6122	2018-12-17 17:25:16.593373+00:00	2018-12-17 17:04:26.500000+00:00	2018-12-17 16:31:54+00:00	2018-12-17 19:07:14.250000+00:00	2018-12-17 16:32:43.575000+00:00	2018-12-17 18:54:06+00:00
ur6318						
ur5787						
ur5030	2018-12-17 17:47:12.453744+00:00	2018-12-17 17:50:39+00:00	2018-12-17 17:16:48+00:00	2018-12-17 18:08:36+00:00	2018-12-17 17:17:12+00:00	2018-12-17 18:07:24.790000+00:00
ur1230	2018-12-17 17:18:52.789252+00:00	2018-12-17 17:15:00+00:00	2018-12-17 17:06:30+00:00	2018-12-17 17:45:09+00:00	2018-12-17 17:06:40+00:00	2018-12-17 17:41:36+00:00
ur5062	2018-12-17 18:09:45.378238+00:00	2018-12-17 18:08:59+00:00	2018-12-17 17:56:05.800000+00:00	2018-12-17 18:44:12.600000+00:00	2018-12-17 17:57:45.440000+00:00	2018-12-17 18:23:18.360000+00:00
ur1680						
ur6951	2018-12-17 17:28:04.450000+00:00	2018-12-17 17:25:56.500000+00:00	2018-12-17 16:51:13+00:00	2018-12-17 18:19:06.450000+00:00	2018-12-17 16:51:28.290000+00:00	2018-12-17 18:11:53.545000+00:00
ur8157						
ur4416						
ur4415	2018-12-17 17:15:42.892562+00:00	2018-12-17 17:14:29+00:00	2018-12-17 16:54:32+00:00	2018-12-17 17:51:37+00:00	2018-12-17 16:55:54+00:00	2018-12-17 17:37:54.400000+00:00
ur8776						
ur3739						
ur2133	2018-12-17 18:40:04.546512+00:00	2018-12-17 18:34:48+00:00	2018-12-17 18:20:29.500000+00:00	2018-12-17 19:10:10.750000+00:00	2018-12-17 18:20:48.225000+00:00	2018-12-17 19:05:21.775000+00:00
ur2394	2018-12-17 17:21:07.142857+00:00	2018-12-17 17:18:30+00:00	2018-12-17 17:06:28+00:00	2018-12-17 18:09:05.150000+00:00	2018-12-17 17:06:32.510000+00:00	2018-12-17 17:44:23.110000+00:00
ur4646	2018-12-17 18:11:58.476821+00:00	2018-12-17 18:06:50+00:00	2018-12-17 18:00:47+00:00	2018-12-17 18:41:12.250000+00:00	2018-12-17 18:00:50+00:00	2018-12-17 18:37:00+00:00
ur4348	2018-12-17 18:33:38.139752+00:00	2018-12-17 19:11:36.500000+00:00	2018-12-17 17:29:53+00:00	2018-12-17 19:27:56.875000+00:00	2018-12-17 17:31:10.350000+00:00	2018-12-17 19:20:21+00:00
ur6716	2018-12-17 17:56:57.436782+00:00	2018-12-17 17:54:13+00:00	2018-12-17 17:15:33.400000+00:00	2018-12-17 18:34:56+00:00	2018-12-17 17:20:44.190000+00:00	2018-12-17 18:33:33.280000+00:00
ur5889						
ur2270						
ur1714						
ur0839	2018-12-17 17:30:17.574493+00:00	2018-12-17 17:25:44+00:00	2018-12-17 17:16:32+00:00	2018-12-17 18:06:45+00:00	2018-12-17 17:16:52+00:00	2018-12-17 17:56:28.770000+00:00
ur8824	2018-12-17 18:11:52.524138+00:00	2018-12-17 18:05:07+00:00	2018-12-17 17:53:40+00:00	2018-12-17 18:46:19+00:00	2018-12-17 17:53:52+00:00	2018-12-17 18:40:56.760000+00:00
ur6374	2018-12-17 18:01:08.694473+00:00	2018-12-17 18:04:03+00:00	2018-12-17 17:09:00.450000+00:00	2018-12-17 18:14:21+00:00	2018-12-17 17:41:37.050000+00:00	2018-12-17 18:13:45.400000+00:00
ur7536						
ur5586						
ur3407	2018-12-17 17:21:05.957784+00:00	2018-12-17 17:05:47+00:00	2018-12-17 16:54:02+00:00	2018-12-17 18:34:25.875000+00:00	2018-12-17 16:54:24+00:00	2018-12-17 18:19:09.055000+00:00
ur0270	2018-12-17 17:40:45.368750+00:00	2018-12-17 17:34:50.500000+00:00	2018-12-17 17:10:48+00:00	2018-12-17 18:29:07.600000+00:00	2018-12-17 17:11:13.315000+00:00	2018-12-17 18:18:05.685000+00:00
ur8721						
ur4819						
ur4545	2018-12-17 18:17:51.946644+00:00	2018-12-17 18:15:53+00:00	2018-12-17 17:54:21+00:00	2018-12-17 18:53:37.500000+00:00	2018-12-17 17:54:58.300000+00:00	2018-12-17 18:46:52.100000+00:00
ur8496						
ur4609	2018-12-17 17:23:44.425968+00:00	2018-12-17 17:17:08+00:00	2018-12-17 17:11:19+00:00	2018-12-17 17:54:35.100000+00:00	2018-12-17 17:11:31+00:00	2018-12-17 17:49:57.860000+00:00
ur7686	2018-12-17 17:10:07.800881+00:00	2018-12-17 17:09:34+00:00	2018-12-17 16:51:16+00:00	2018-12-17 17:40:27.275000+00:00	2018-12-17 16:51:32+00:00	2018-12-17 17:33:11+00:00
ur0541	2018-12-17 16:57:55.703404+00:00	2018-12-17 16:54:50+00:00	2018-12-17 16:43:44+00:00	2018-12-17 17:28:33.800000+00:00	2018-12-17 16:43:48+00:00	2018-12-17 17:22:56.920000+00:00
ur5165						
ur5766						
ur8120						
ur4979						
ur7673						
ur1997						
ur5452						
ur2686						
ur6719	2018-12-17 17:18:14.596154+00:00	2018-12-17 17:03:43+00:00	2018-12-17 16:38:52.275000+00:00	2018-12-17 18:48:40.625000+00:00	2018-12-17 16:39:20.360000+00:00	2018-12-17 18:29:55.865000+00:00
ur0723	2018-12-17 17:23:51.537572+00:00	2018-12-17 17:13:58+00:00	2018-12-17 16:59:40+00:00	2018-12-17 18:21:03.400000+00:00	2018-12-17 17:00:10.440000+00:00	2018-12-17 18:07:20.560000+00:00
ur3379	2018-12-17 17:39:47.945892+00:00	2018-12-17 17:28:50+00:00	2018-12-17 17:14:35+00:00	2018-12-17 18:29:32.800000+00:00	2018-12-17 17:14:49+00:00	2018-12-17 18:21:52.050000+00:00
ur6752						
ur8255	2018-12-17 17:20:44.388889+00:00	2018-12-17 17:22:08+00:00	2018-12-17 17:13:52.425000+00:00	2018-12-17 17:32:11+00:00	2018-12-17 17:13:53.445000+00:00	2018-12-17 17:29:25.015000+00:00
ur3352	2018-12-17 17:36:52.634043+00:00	2018-12-17 17:38:09+00:00	2018-12-17 17:02:10+00:00	2018-12-17 18:21:24.350000+00:00	2018-12-17 17:04:59.240000+00:00	2018-12-17 18:15:48.110000+00:00
ur4042	2018-12-17 17:26:35.444444+00:00	2018-12-17 17:22:09+00:00	2018-12-17 17:14:12+00:00	2018-12-17 18:00:50+00:00	2018-12-17 17:14:19+00:00	2018-12-17 17:56:35.250000+00:00
ur5701	2018-12-17 17:28:11.410118+00:00	2018-12-17 17:28:18+00:00	2018-12-17 16:51:28.800000+00:00	2018-12-17 18:17:03+00:00	2018-12-17 16:55:29.480000+00:00	2018-12-17 18:03:55.120000+00:00
ur1728	2018-12-17 17:50:40.582451+00:00	2018-12-17 17:47:25+00:00	2018-12-17 16:35:13+00:00	2018-12-17 18:49:01.500000+00:00	2018-12-17 16:41:01.400000+00:00	2018-12-17 18:46:01.100000+00:00
ur5837	2018-12-17 17:28:07.958395+00:00	2018-12-17 17:17:19+00:00	2018-12-17 17:07:49+00:00	2018-12-17 18:18:58.800000+00:00	2018-12-17 17:07:58.120000+00:00	2018-12-17 18:06:21+00:00
