user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur6122	2018-12-17 07:47:56.037149+00:00	2018-12-17 08:01:21+00:00	2018-12-17 06:08:25.750000+00:00	2018-12-17 08:35:25+00:00	2018-12-17 06:25:17+00:00	2018-12-17 08:34:46+00:00
ur6318						
ur5787						
ur5030	2018-12-17 07:35:39.797357+00:00	2018-12-17 07:37:29+00:00	2018-12-17 07:10:09+00:00	2018-12-17 07:49:05+00:00	2018-12-17 07:10:19.210000+00:00	2018-12-17 07:48:16+00:00
ur1230	2018-12-17 06:40:28.987355+00:00	2018-12-17 06:45:42.500000+00:00	2018-12-17 06:12:05+00:00	2018-12-17 06:54:42+00:00	2018-12-17 06:15:38+00:00	2018-12-17 06:54:29+00:00
ur5062	2018-12-17 07:11:14.471503+00:00	2018-12-17 07:16:43+00:00	2018-12-17 06:42:43+00:00	2018-12-17 07:17:42+00:00	2018-12-17 06:51:18.200000+00:00	2018-12-17 07:16:54.400000+00:00
ur1680						
ur6951	2018-12-17 06:53:13.400000+00:00	2018-12-17 06:59:17+00:00	2018-12-17 06:10:08.875000+00:00	2018-12-17 07:17:44+00:00	2018-12-17 06:20:29.895000+00:00	2018-12-17 07:16:30.570000+00:00
ur8157						
ur4416						
ur4415	2018-12-17 07:20:37.115702+00:00	2018-12-17 07:14:30+00:00	2018-12-17 06:59:43+00:00	2018-12-17 07:54:53+00:00	2018-12-17 07:01:31+00:00	2018-12-17 07:48:06+00:00
ur8776						
ur3739						
ur2133	2018-12-17 06:59:11.360465+00:00	2018-12-17 07:01:41+00:00	2018-12-17 06:37:29+00:00	2018-12-17 07:13:02.875000+00:00	2018-12-17 06:40:05+00:00	2018-12-17 07:11:54.975000+00:00
ur2394	2018-12-17 06:43:14.174603+00:00	2018-12-17 06:46:48+00:00	2018-12-17 06:14:15+00:00	2018-12-17 06:54:39+00:00	2018-12-17 06:19:10.160000+00:00	2018-12-17 06:54:36.650000+00:00
ur4646	2018-12-17 07:26:17.695364+00:00	2018-12-17 07:29:16+00:00	2018-12-17 06:59:51.250000+00:00	2018-12-17 07:38:35.250000+00:00	2018-12-17 07:06:58.500000+00:00	2018-12-17 07:38:18+00:00
ur4348	2018-12-17 05:53:14.984472+00:00	2018-12-17 05:29:17+00:00	2018-12-17 04:47:04+00:00	2018-12-17 06:51:46+00:00	2018-12-17 04:47:06+00:00	2018-12-17 06:51:31+00:00
ur6716	2018-12-17 07:22:54.080460+00:00	2018-12-17 07:28:01+00:00	2018-12-17 06:48:34.050000+00:00	2018-12-17 07:45:55.400000+00:00	2018-12-17 06:50:25.960000+00:00	2018-12-17 07:44:35.150000+00:00
ur5889						
ur2270						
ur1714						
ur0839	2018-12-17 08:37:59.036949+00:00	2018-12-17 08:41:15+00:00	2018-12-17 08:20:51+00:00	2018-12-17 08:44:28+00:00	2018-12-17 08:26:29+00:00	2018-12-17 08:44:25+00:00
ur8824	2018-12-17 08:50:09.131034+00:00	2018-12-17 08:50:21+00:00	2018-12-17 08:35:29.800000+00:00	2018-12-17 09:00:39+00:00	2018-12-17 08:37:17.960000+00:00	2018-12-17 09:00:37+00:00
