user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud0748	2018-12-17 17:09:03.487474+00:00	2018-12-17 16:54:45.500000+00:00	2018-12-17 16:33:53+00:00	2018-12-17 18:14:25.350000+00:00	2018-12-17 16:34:32+00:00	2018-12-17 18:06:23.655000+00:00
ud1145	2018-12-17 17:58:19.062500+00:00	2018-12-17 18:01:03+00:00	2018-12-17 17:26:39.550000+00:00	2018-12-17 18:27:05.025000+00:00	2018-12-17 17:27:55.610000+00:00	2018-12-17 18:26:26.390000+00:00
ud0368	2018-12-17 16:25:20.104502+00:00	2018-12-17 16:08:14+00:00	2018-12-17 15:39:54+00:00	2018-12-17 18:13:47.475000+00:00	2018-12-17 15:41:20.570000+00:00	2018-12-17 17:54:14.215000+00:00
ud0771	2018-12-17 17:44:01.638498+00:00	2018-12-17 17:41:48+00:00	2018-12-17 17:10:50.700000+00:00	2018-12-17 18:28:20+00:00	2018-12-17 17:18:11.040000+00:00	2018-12-17 18:16:40.900000+00:00
ud1186						
ud0798	2018-12-17 16:36:05.620536+00:00	2018-12-17 16:10:55.500000+00:00	2018-12-17 15:47:26.075000+00:00	2018-12-17 18:25:41.200000+00:00	2018-12-17 15:48:39.055000+00:00	2018-12-17 18:12:21.625000+00:00
ud0829	2018-12-17 17:23:24.732865+00:00	2018-12-17 17:16:15+00:00	2018-12-17 16:48:59+00:00	2018-12-17 18:22:37.200000+00:00	2018-12-17 16:50:06.560000+00:00	2018-12-17 18:09:48.960000+00:00
ud0976						
ud0991						
ud0608	2018-12-17 17:49:58.133929+00:00	2018-12-17 17:48:37+00:00	2018-12-17 17:38:32.550000+00:00	2018-12-17 18:01:48.300000+00:00	2018-12-17 17:39:42.870000+00:00	2018-12-17 18:00:18.205000+00:00
ud1045	2018-12-17 17:45:52.852941+00:00	2018-12-17 17:34:36.500000+00:00	2018-12-17 17:21:52+00:00	2018-12-17 18:30:50.875000+00:00	2018-12-17 17:22:10.275000+00:00	2018-12-17 18:24:49+00:00
ud0910	2018-12-17 17:09:00.647059+00:00	2018-12-17 16:55:47+00:00	2018-12-17 16:44:06+00:00	2018-12-17 17:58:16+00:00	2018-12-17 16:44:14+00:00	2018-12-17 17:53:23+00:00
ud0634	2018-12-17 17:39:59.936803+00:00	2018-12-17 17:41:38+00:00	2018-12-17 17:11:26+00:00	2018-12-17 18:21:44.300000+00:00	2018-12-17 17:12:14+00:00	2018-12-17 18:17:19.180000+00:00
ud0970	2018-12-17 17:11:40.253133+00:00	2018-12-17 16:55:41+00:00	2018-12-17 16:24:14.650000+00:00	2018-12-17 18:49:52.350000+00:00	2018-12-17 16:25:44.150000+00:00	2018-12-17 18:33:26.170000+00:00
ud1194	2018-12-17 18:34:51.312500+00:00	2018-12-17 18:35:00.500000+00:00	2018-12-17 18:25:15.425000+00:00	2018-12-17 18:50:37.425000+00:00	2018-12-17 18:27:18.155000+00:00	2018-12-17 18:48:41.360000+00:00
ud0552	2018-12-17 16:33:14+00:00	2018-12-17 16:30:19+00:00	2018-12-17 16:19:40+00:00	2018-12-17 16:49:36.100000+00:00	2018-12-17 16:20:05+00:00	2018-12-17 16:44:02.180000+00:00
ud0435	2018-12-17 17:06:45.870416+00:00	2018-12-17 17:01:15+00:00	2018-12-17 16:53:19+00:00	2018-12-17 17:41:39.400000+00:00	2018-12-17 16:53:52+00:00	2018-12-17 17:32:37+00:00
ud0904	2018-12-17 17:50:51.252475+00:00	2018-12-17 17:51:19.500000+00:00	2018-12-17 17:28:49+00:00	2018-12-17 18:10:20.550000+00:00	2018-12-17 17:32:06.510000+00:00	2018-12-17 18:08:19+00:00
ud0622	2018-12-17 17:28:05.930757+00:00	2018-12-17 17:45:52+00:00	2018-12-17 15:48:48+00:00	2018-12-17 18:33:11+00:00	2018-12-17 15:52:57+00:00	2018-12-17 18:31:15.300000+00:00
ud0541	2018-12-17 17:17:32.202899+00:00	2018-12-17 17:11:11+00:00	2018-12-17 16:35:54+00:00	2018-12-17 18:01:56.850000+00:00	2018-12-17 16:37:06.510000+00:00	2018-12-17 17:56:30.880000+00:00
